#{"t_start": 1713350824.70012, "env_id": "MagnetEnv_OSC-v0"}
r,l,t
-7747.081168,1001,2.923903
-7768.623872,1001,5.03617
-7716.921761,1001,8.02072
-7711.028931,1001,15.036487
-7707.528382,1001,17.845614
-7789.821366,1001,19.942113
-7699.572897,1001,22.762158
-7735.766433,1001,24.868024
-7731.811454,1001,27.711984
-7725.091974,1001,29.777313
-7757.286265,1001,32.588976
-7759.509303,1001,34.708026
-7738.247491,1001,37.541343
-7757.340256,1001,39.636537
-7736.738062,1001,42.484953
-7766.756542,1001,44.538697
-7780.995648,1001,110.617281
-7758.535767,1001,173.889896
-7771.780852,1001,232.631681
1821.49789,1001,288.858945
-7727.873863,1001,350.592833
-7788.210933,1001,415.868046
-7691.332325,1001,482.608447
-7763.783017,1001,546.902329
-7695.022855,1001,613.599202
-7785.183842,1001,676.871917
-7775.213746,1001,740.552597
-7766.977156,1001,805.866004
-7723.361556,1001,870.591814
-7771.780839,1001,933.889155
-7739.916889,1001,1000.587725
-7765.760758,1001,1062.884174
-7735.726582,1001,1128.587132
-7691.942346,1001,1193.896758
-7751.607136,1001,1260.608986
-2623.980974,1001,1326.844899
-7783.22765,1001,1392.577557
-7700.604654,1001,1456.894393
-7717.914129,1001,1519.605342
-7769.477214,1001,1574.886294
-7746.212681,1001,1634.575631
5664.055966,1001,1693.856512
-7770.245986,1001,1758.600249
-7150.017317,1001,1818.858402
-4026.274608,1001,1880.855757
-5399.525641,1001,1941.581352
-7766.441654,1001,2005.861396
-7767.686178,1001,2069.543637
2360.032422,1001,2129.850288
-1311.565341,1001,2190.559522
-7759.387761,1001,2254.88214
-7754.583434,1001,2319.591417
-7750.366093,1001,2377.881917
-5575.441819,1001,2443.609118
-7762.255119,1001,2503.867157
527.029404,1001,2570.542465
495.272079,1001,2635.844872
-7767.443647,1001,2703.541191
-7740.101617,1001,2768.875756
-2427.028266,1001,2834.554575
-7763.475621,1001,2897.859941
3479.616049,1001,2965.571651
5126.603515,1001,3029.850878
6352.910333,1001,3096.565148
3561.081244,1001,3228.783356
3561.081244,1001,3291.781033
3561.081244,1001,3355.778069
3561.081244,1001,3420.7744
3561.081244,1001,3484.776036
-7756.967179,1001,3551.590755
116.28364,1001,3617.862977
5784.39973,1001,3684.56488
-4885.889656,1001,3748.874768
8701.387388,1001,3812.582585
-4536.167361,1001,3872.85752
3235.148013,1001,3934.554739
5744.156831,1001,3998.856194
-311.036462,1001,4062.558194
3347.972938,1001,4125.843951
-471.068643,1001,4193.567299
5448.838884,1001,4258.870646
-5776.99293,1001,4324.590924
5200.757379,1001,4388.847089
2834.081918,1001,4455.564029
3505.666155,1001,4512.837731
3814.903373,1001,4580.551162
15676.676235,1001,4644.84284
5207.234637,1001,4700.5636
1475.515856,1001,4759.036159
-2252.120069,1001,4822.587913
863.962505,1001,4886.858402
665.659316,1001,4950.072393
-810.695754,1001,5010.552768
-7760.739838,1001,5072.855076
8308.908595,1001,5134.566765
899.350231,1001,5194.874287
2997.555301,1001,5260.551541
4402.440697,1001,5319.86104
6412.487173,1001,5381.570558
4064.211483,1001,5441.861332
7269.460591,1001,5506.568452
4513.41592,1001,5570.986279
5554.883031,1001,5631.561291
8292.933398,1001,5690.873114
3944.074754,1001,5752.590997
394.139933,1001,5816.869904
4552.837662,1001,5883.586751
5738.770052,1001,5946.849948
534.834482,1001,6014.660372
5271.21096,1001,6078.865829
-5082.100142,1001,6143.578405
4902.093233,1001,6209.926517
6062.460714,1001,6271.580599
3288.467656,1001,6328.860545
6740.343718,1001,6396.587582
334.99448,1001,6458.992301
40.575168,1001,6511.563144
3502.728077,1001,6564.981469
4075.483441,1001,6615.560492
726.987933,1001,6665.858237
2322.781572,1001,6716.57995
3177.627796,1001,6774.877723
6174.369384,1001,6838.578008
-161.314165,1001,6901.063871
-1347.736876,1001,6967.658088
3326.166752,1001,7033.854914
3012.195614,1001,7100.648012
1015.173361,1001,7165.869301
7836.767336,1001,7231.562907
-2766.902999,1001,7295.060762
1478.083155,1001,7360.594002
-602.660519,1001,7420.057016
2106.005067,1001,7482.667061
1015.649489,1001,7607.98774
1015.649489,1001,7670.985589
1015.649489,1001,7733.992903
1015.649489,1001,7789.99569
1015.649489,1001,7847.038055
-430.07439,1001,7899.874732
-1190.95911,1001,7964.808229
1215.833056,1001,8032.014813
10103.308772,1001,8096.567653
-130.08643,1001,8161.045354
2079.514664,1001,8222.676343
1279.078603,1001,8287.04406
3668.688038,1001,8352.601052
2653.767354,1001,8413.854305
3978.302814,1001,8477.649581
3367.144228,1001,8542.903928
-594.686135,1001,8608.753385
6517.341056,1001,8672.951792
624.517801,1001,8735.635375
8836.760739,1001,8797.862048
4658.699306,1001,8860.554079
3476.628184,1001,8924.91868
5816.171622,1001,8992.6618
685.11764,1001,9055.987515
2089.831234,1001,9121.763787
5869.198925,1001,9182.957721
1299.915567,1001,9244.60299
4762.440398,1001,9305.965152
2700.206826,1001,9371.570441
2736.773349,1001,9434.911236
1510.479859,1001,9493.782958
1895.623801,1001,9555.889514
4671.024195,1001,9618.595482
7904.557842,1001,9676.866019
-1437.700798,1001,9738.602055
-1359.805466,1001,9796.035416
2879.987637,1001,9851.752082
5356.467253,1001,9909.909391
1333.977817,1001,9968.706594
300.229451,1001,10028.891587
-235.075324,1001,10096.761442
-1555.548933,1001,10154.939983
3204.589671,1001,10215.554764
128.765999,1001,10267.871029
6644.490553,1001,10333.561112
5411.338609,1001,10397.902256
5172.999525,1001,10461.641984
382.878517,1001,10524.998796
7075.511448,1001,10586.901842
-3496.61108,1001,10647.739115
4854.865465,1001,10710.952057
4238.871452,1001,10771.653165
-1578.009812,1001,10828.865433
4065.949401,1001,10895.571114
4105.794845,1001,10961.997027
4024.509143,1001,11028.691688
-1477.602051,1001,11082.09134
970.470871,1001,11136.667228
1576.030361,1001,11200.968302
3234.829375,1001,11261.59483
-133.8524,1001,11323.97098
482.360698,1001,11386.584691
1863.344174,1001,11447.945564
3185.674011,1001,11481.29954
-695.622896,1001,11482.982739
-1510.086363,1001,11486.022504
5274.036234,1001,11488.147814
5278.354674,1001,11490.969815
-399.693116,1001,11493.167673
52.629658,1001,11498.265507
52.629658,1001,11500.499532
52.629658,1001,11502.731823
52.629658,1001,11504.958652
52.629658,1001,11507.19426
7744.960312,1001,11509.336277
1544.712737,1001,11512.287151
1278.748822,1001,11514.513539
-997.0648,1001,11517.470664
5267.928315,1001,11519.542027
2140.852256,1001,11522.428357
2206.961265,1001,11524.616411
5020.702288,1001,11527.411513
7125.155195,1001,11529.534881
1016.699382,1001,11532.445097
-525.49723,1001,11534.667561
4339.212359,1001,11537.507949
2581.548245,1001,11539.57356
2365.904795,1001,11542.486946
7297.716981,1001,11544.588688
358.505924,1001,11547.539155
2270.779203,1001,11549.753617
5397.176191,1001,11552.547189
2321.026758,1001,11554.794989
1550.595946,1001,11556.859937
3159.858992,1001,11559.75054
1180.085207,1001,11561.878811
766.672763,1001,11564.879044
3699.261063,1001,11566.948669
5946.717144,1001,11569.730354
820.787065,1001,11571.907381
5618.538043,1001,11574.772277
7120.607769,1001,11576.864837
2623.574882,1001,11579.709948
-617.148089,1001,11581.972205
279.092247,1001,11585.063531
1027.64463,1001,11587.219452
562.623467,1001,11590.197196
-882.092015,1001,11592.377142
-669.20287,1001,11595.322106
3251.327344,1001,11597.489102
1072.59099,1001,11600.405741
147.851792,1001,11602.700425
2372.089135,1001,11605.586292
1305.934554,1001,11607.819939
3645.704804,1001,11610.652203
-4622.603146,1001,11612.707557
797.513714,1001,11615.677553
-3261.576684,1001,11617.938643
3987.962528,1001,11620.778355
103.818082,1001,11623.028766
1861.068363,1001,11625.948475
7287.43176,1001,11628.004787
3623.676051,1001,11630.840812
-2697.237142,1001,11633.06401
1460.055034,1001,11635.987681
3000.088397,1001,11638.203674
4.908923,1001,11641.098248
3520.199838,1001,11643.252397
2498.247138,1001,11646.155855
2850.827741,1001,11648.328032
750.225121,1001,11651.288733
4261.493387,1001,11653.348603
5284.179978,1001,11656.135664
4253.242589,1001,11658.231076
-303.085014,1001,11661.241839
1851.058896,1001,11663.365865
4226.831695,1001,11666.115589
2089.663901,1001,11668.229402
46.5798,1001,11672.44128
46.5798,1001,11674.704776
46.5798,1001,11676.972294
46.5798,1001,11679.194815
46.5798,1001,11681.406055
4468.495254,1001,11684.198842
2021.003524,1001,11686.242202
1713.002071,1001,11689.199312
3383.116003,1001,11691.37517
6476.28823,1001,11694.22238
3202.756189,1001,11696.428208
7806.696762,1001,11699.261076
1875.550334,1001,11701.492174
4296.849743,1001,11704.403465
5248.319596,1001,11706.492091
4861.808123,1001,11709.411762
5057.582826,1001,11711.646106
2983.133774,1001,11714.476432
-2358.531385,1001,11716.893439
2211.387019,1001,11719.778919
-1733.525262,1001,11722.028825
2664.847573,1001,11724.863296
2815.585192,1001,11726.935811
2052.772986,1001,11729.932655
-1499.665281,1001,11732.16036
1169.835521,1001,11735.06279
914.395459,1001,11737.323431
1479.436554,1001,11740.352998
193.516729,1001,11742.541768
197.207198,1001,11745.510748
2714.780487,1001,11747.653143
7232.362672,1001,11750.455443
6606.670596,1001,11752.548618
1263.059882,1001,11755.534467
2890.973982,1001,11757.771207
8443.073369,1001,11760.566174
84.642238,1001,11762.687869
-1738.491372,1001,11765.626908
1595.038385,1001,11767.700155
3382.987577,1001,11770.637596
-404.781385,1001,11772.742674
3435.921083,1001,11775.450845
4285.613257,1001,11777.58133
1801.389387,1001,11780.415809
-505.489167,1001,11782.709371
2591.012281,1001,11784.810107
1882.523166,1001,11787.616869
1407.281485,1001,11789.919308
5330.38338,1001,11792.734267
2753.307287,1001,11794.948302
-1206.175907,1001,11797.960985
2515.865138,1001,11800.150801
929.202759,1001,11803.122743
844.276432,1001,11805.361813
466.119409,1001,11808.32146
-575.28855,1001,11810.569218
-384.867961,1001,11813.395577
2885.147863,1001,11815.562078
3638.212037,1001,11818.372499
1274.973458,1001,11820.393412
2888.178714,1001,11823.247
559.784612,1001,11825.252538
665.709878,1001,11828.195337
-939.933596,1001,11830.386272
2485.973124,1001,11833.18313
3769.171831,1001,11835.284029
4112.127373,1001,11838.123076
3387.957274,1001,11840.200638
2755.367722,1001,11843.163037
87.816698,1001,11847.63614
87.816698,1001,11849.87385
87.816698,1001,11852.127243
87.816698,1001,11854.328344
87.816698,1001,11856.595183
1757.216395,1001,11859.513452
7456.537826,1001,11861.57755
5329.152455,1001,11864.425462
3978.513779,1001,11866.647518
-1464.866036,1001,11869.651123
3596.568551,1001,11871.772597
-11.188464,1001,11874.704166
6724.524103,1001,11876.754043
3721.047369,1001,11879.579392
3299.98177,1001,11881.617424
2237.677973,1001,11884.588831
1442.249213,1001,11886.813332
3357.42008,1001,11889.604666
1160.939726,1001,11891.807858
2990.480974,1001,11894.669156
5882.731011,1001,11896.819212
4062.928867,1001,11899.726977
2423.50054,1001,11901.972584
882.128858,1001,11904.280934
