#{"t_start": 1717156320.7890003, "env_id": "MagnetEnv_OSC-v0"}
r,l,t
-873.176693,2001,2.751047
-110.816115,2001,5.398298
-271.370642,2001,7.854206
-100.323393,2001,10.483628
-137.768102,2001,12.923794
-843.854822,2001,15.375028
-218.366045,2001,17.777845
-84.358783,2001,20.241618
-194.343441,2001,22.664301
-90.878097,2001,25.09175
-80.360271,2001,27.484302
-90.805227,2001,29.894914
-69.841034,2001,32.297125
-67.879825,2001,34.70833
-59.842235,2001,37.118145
-74.275587,2001,39.541755
-76.284158,2001,41.990781
-108.782675,2001,44.42153
-53.800508,2001,46.80547
-63.348914,2001,49.213413
-55.313792,2001,51.629168
-52.831555,2001,54.019198
-52.857912,2001,56.420121
-55.842425,2001,58.868328
-52.826053,2001,61.274571
-50.323107,2001,63.714983
-49.843869,2001,66.15475
-50.799887,2001,68.556383
-54.264352,2001,70.940394
-46.261128,2001,73.347016
-46.796962,2001,75.737171
-50.76415,2001,78.188774
-46.268038,2001,80.816221
-46.268038,2001,82.462433
-46.268038,2001,84.111122
-46.268038,2001,85.764172
-46.268038,2001,87.41843
-46.746427,2001,89.863379
-50.214145,2001,92.311991
-46.228616,2001,94.759567
-54.701891,2001,97.204023
-49.253146,2001,99.584732
-47.728474,2001,102.018608
-46.694973,2001,104.453718
-43.715223,2001,106.832117
-43.691395,2001,109.246606
-44.197565,2001,111.673701
-44.21623,2001,114.122509
-40.194583,2001,116.579814
-42.202645,2001,118.991652
-41.194756,2001,121.392838
-49.205422,2001,123.842113
-43.172833,2001,126.289671
-40.69534,2001,128.757624
-43.182632,2001,131.17919
-47.176537,2001,133.604061
-42.684101,2001,136.041082
-42.656165,2001,138.473306
-42.681596,2001,140.947476
-45.166071,2001,143.358442
-42.159691,2001,145.804216
-42.666649,2001,148.284082
-42.659447,2001,150.737019
-41.686448,2001,153.118485
-44.157171,2001,155.543554
-44.68115,2001,157.995043
-42.181477,2001,160.426064
-42.694302,2001,162.842749
-43.17177,2001,165.308732
-38.637924,2001,167.921194
-38.637924,2001,169.556401
-38.637924,2001,171.198554
-38.637924,2001,172.846447
-38.637924,2001,174.488618
-38.678985,2001,176.938361
-48.152539,2001,179.390048
-42.134127,2001,181.822599
-38.632456,2001,184.261623
-39.115848,2001,186.651641
-39.626811,2001,189.066204
-39.654089,2001,191.478741
-39.629768,2001,193.881706
-39.135497,2001,196.298575
-44.649785,2001,198.747846
-42.640501,2001,201.193795
-42.631643,2001,203.63176
-42.631306,2001,206.091738
-37.656372,2001,208.53145
-39.161272,2001,210.954643
-37.637665,2001,213.412464
-40.114986,2001,215.860856
-41.153456,2001,218.310055
-41.10537,2001,220.716695
-44.159935,2001,223.094424
-39.141923,2001,224.918277
-40.647089,2001,227.302368
-39.1441,2001,229.692847
-40.143246,2001,232.113515
-42.127429,2001,234.485297
-37.144995,2001,236.873109
-41.62616,2001,239.334915
-37.628865,2001,241.721124
-38.147094,2001,244.158627
-41.121729,2001,246.542566
-37.109763,2001,248.969385
-38.633532,2001,251.430988
