#{"t_start": 1714481132.5905309, "env_id": "MagnetEnv_OSC-v0"}
r,l,t
-18039.146365,6001,8.509389
-18215.415075,6001,16.6895
-18930.320293,6001,25.109064
-19814.451378,6001,33.441369
-19777.560468,6001,41.823743
-19877.9448,6001,50.210112
-19415.516501,6001,58.533592
-18271.277453,6001,66.869686
-18169.500142,6001,75.236084
-20424.982204,6001,83.625246
-20480.991956,6001,96.090186
-20480.991956,6001,101.875822
-20480.991956,6001,107.627407
-20480.991956,6001,113.360099
-20480.991956,6001,119.128834
-11812.577495,4957,126.485731
-20290.66008,6001,134.857023
-19471.823395,6001,143.28253
-18975.995344,6001,151.150348
-19504.092842,6001,159.630113
-18142.599185,6001,167.961239
-18303.048053,6001,176.262794
-18133.513267,6001,184.640579
-19308.353571,6001,193.061455
-19639.408631,6001,201.417766
-19086.102189,6001,209.822927
-19260.246811,6001,216.557105
-19260.246811,6001,222.30296
-19260.246811,6001,228.055217
-19260.246811,6001,233.825062
-19260.246811,6001,239.587883
-18708.697488,6001,247.925302
-18395.586222,6001,256.293507
-18244.211408,6001,264.751155
-18492.493843,6001,273.247032
-17975.863836,6001,281.45788
-18426.752922,6001,289.828058
-18629.635608,6001,297.647802
-19427.295215,6001,306.003034
-18905.9705,6001,314.228957
-18100.85995,6001,322.582902
-19609.357527,6001,335.597735
-19609.357527,6001,341.299707
-19609.357527,6001,346.992082
-19609.357527,6001,352.71538
-19609.357527,6001,358.436106
-19187.934702,6001,366.83426
-19412.587367,6001,375.157209
-18960.256588,6001,383.332195
-20065.170767,6001,391.184973
-20000.457258,6001,399.564672
-20022.25621,6001,407.94402
-20337.799931,6001,416.311483
-20449.408615,6001,424.642936
-19753.841716,6001,433.048721
-18372.16054,6001,441.473492
-18376.822396,6001,454.085653
-18376.822396,6001,459.842328
-18376.822396,6001,465.623821
-18376.822396,6001,471.388701
-18376.822396,6001,477.14167
-18290.412975,6001,485.494506
-17148.454177,6001,493.956516
-16407.933183,6001,502.467534
-17638.229609,6001,510.891906
-18676.217923,6001,519.306406
-18790.882782,6001,527.7949
-18189.552837,6001,536.085508
-19054.056712,6001,544.38332
-18510.152197,6001,552.660857
-18339.0884,6001,560.92067
-18898.926156,6001,573.403964
-18898.926156,6001,579.137333
-18898.926156,6001,584.911428
-18898.926156,6001,590.61359
-18898.926156,6001,596.33628
-18719.661908,6001,604.645899
-18573.657722,6001,613.009985
-18343.371998,6001,621.229999
-18938.621713,6001,629.525606
-17679.847563,6001,637.882168
-19889.872802,6001,646.322464
-19838.838016,6001,654.641889
-20984.40599,6001,662.924011
